pmid,title,abstract,journal
29406940,Heart Disease in Children.,"The pediatric cardiology field has developed rapidly over the past few decades. More children than ever born with congenital heart disease (CHD) are growing into adulthood. Primary care providers play a key role in diagnosis, management, and referral of children with CHD because many common cardiac complaints (eg, feeding intolerance, cyanosis, chest pain, palpitations, and syncope) are first addressed in the primary care setting. The spectrum of heart disease in children ranges from common complaints to complex single-ventricle physiology, acute myocarditis, and heart transplantation. This article reviews the pathophysiology and management of the most frequent cardiac conditions encountered in primary care.",Primary care
26026739,Heart disease in pregnancy.,"Cardiac disease is the leading cause of maternal mortality in the developed world. The majority of women with heart disease are able to successfully undergo pregnancy. However, in women with severely impaired ventricular function, severe left heart obstruction, pulmonary hypertension and aortopathy, such as Marfan syndrome, with significant aortic dilatation, pregnancy is associated with a significant risk, and these women should be counselled against pregnancy if there is no option for treatment that reduces risk. Although there are increasing numbers of women with congenital heart disease who are considering pregnancy, as a result of joint expert specialist cardiac and obstetric care, maternal mortality is low. Most of the observed mortality occurs in women with structurally normal hearts who were not known to have heart disease before their pregnancy. It is therefore important that those caring for pregnant women are aware of the risk factors for and presentation of cardiac conditions in pregnancy. We review the presentation and management of both congenital and acquired heart diseases in pregnancy.",Best practice & research. Clinical obstetrics & gynaecology
41106879,Acquired Heart Disease in Children.,"Acquired heart disease in children can have both acute and long-term consequences. Common acquired heart diseases include endocarditis, myocarditis, pericarditis, pericardial effusion, Kawasaki disease, myocardial infarction, multisystem inflammatory syndrome in children, and rheumatic heart disease. Typically, these conditions arise from infections, and patients present with fever, chest pain, and shortness of breath and may have signs of heart failure on examination. Diagnosis is usually made clinically in the emergency department using a combination of history and examination findings and laboratory testing, which includes markers of cardiac involvement, electrocardiography, and echocardiography. These patients usually require inpatient management.",Emergency medicine clinics of North America
10918679,Heart disease in children.,"Advances in the understanding of the pathophysiology, diagnosis, and medical and surgical management of neonates with cardiovascular disease has led to their improved survival rates. These improvements have resulted in an increased number of pediatric patients presenting to the primary care physician's office with underlying heart disease. Understanding the genetic, congenital, or acquired etiologies to the various pediatric heart diseases is crucial to preventing these lesions and treating these patients.",Primary care
40760163,Hypertensive heart disease: is it really a pathology?,"Hypertensive heart disease is not a direct cause of heart failure. Left ventricular hypertrophy is common in hypertension but rarely progresses to HFpEF or HFrEF. The true cardiovascular consequences of hypertension are primarily mediated by atherosclerosis and microvascular dysfunction, leading to stroke and myocardial infarction.",Hypertension research : official journal of the Japanese Society of Hypertension
6996126,Diabetic heart disease.,"The fact that a significant proportion of diabetics die of heart disease has led to the belief that the excess mortality is due to coronary athersclerosis, yet many risk factors for the latter are common to diabetics and non-diabetics. In fact, heart disease in diabetes is not synonymous with coronary heart disease. There is evidence that heart disease in diabetes includes a variable combination of coronary atheroma, cardiomyopathy, micro-angiopathy and autonomioc neuropathy.",South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
8799707,Heart disease in diabetes mellitus.,"The spectrum of heart disease in diabetic patients is broad and complex. This article discusses the epidemiologic associations between the two causes. It attempts to summarize the effects of diabetes at the cellular, vascular, and myocardial levels. The clinical manifestations are explored, and the treatment of heart disease as it pertains to diabetic patients is discussed.",Endocrinology and metabolism clinics of North America
19106388,Heart disease in Asia.,,Circulation
33541616,Pulmonary Hypertension in Left Heart Disease.,"Pulmonary hypertension is common in left heart disease and is related most commonly to passive back transmission of elevated left atrial pressures. Some patients, however, may develop pulmonary vascular remodeling superimposed on their left-sided heart disease. This review provides a contemporary appraisal of existing criteria to diagnose a precapillary component to pulmonary hypertension in left heart disease as well as discusses etiologies, management issues, and future directions.",Clinics in chest medicine
25307548,Biomarkers in pediatric heart disease.,"A biomarker is a characteristic that can be used as an indicator of a biological state. A biomarker can be a clinical observation, laboratory test or an imaging parameter. In this review, we discuss the use of biomarkers in differentiating cardiac from noncardiac disease; predicting the prognosis of patients with heart failure, pulmonary hypertension and dilated cardiomyopathy; diagnosing subclinical cardiac involvement in muscular dystrophy and postchemotherapy cancer patients; detecting acute rejection following heart transplantation; diagnosing Kawasaki disease; aiding the management of postoperative cardiac patients; and managing both common (tetralogy of Fallot) and complex (single-ventricle physiology) congenital heart diseases.",Biomarkers in medicine
